
============================================================
  iNEST + TCC Research Pipeline v3.3
  2026-07-27 10:10
============================================================
[10:10:20] [S2] Searching Semantic Scholar (19 queries)...
[10:10:21]   S2: 429 rate limited; skip S2 for this run and continue with arXiv/GN
[10:10:21] [arXiv] Searching arXiv (via proxy, 19 queries)...
[10:10:52]   arXiv TCC-scale-noc: The read operation timed out, retry 1...
[10:11:33]   arXiv TCC-scale-noc: The read operation timed out, retry 2...
[10:12:01]   arXiv TCC-scale-noc: 429 rate limit, waiting 30s...
[10:13:04]   arXiv TCC-wafer-chiplet: The read operation timed out, retry 1...
[10:13:16]   arXiv TCC-wafer-chiplet: 429 rate limit, waiting 20s...
[10:14:34]   arXiv TCC-wafer-chiplet: The read operation timed out, giving up
[10:15:04]   arXiv TCC-reconfigurable: 429 rate limit, waiting 10s...
[10:15:17]   arXiv TCC-reconfigurable: 429 rate limit, waiting 20s...
[10:15:47]   arXiv TCC-reconfigurable: 429 rate limit, waiting 30s...
[10:16:50]   arXiv TCC-higher-order: The read operation timed out, retry 1...
[10:17:28]   arXiv TCC-higher-order: The read operation timed out, retry 2...
[10:17:54]   arXiv TCC-higher-order: 429 rate limit, waiting 30s...
[10:18:58]   arXiv TCC-sim-compile: The read operation timed out, retry 1...
[10:19:20]   arXiv TCC-sim-compile: 429 rate limit, waiting 20s...
[10:19:58]   arXiv TCC-sim-compile: 429 rate limit, waiting 30s...
[10:20:46]   arXiv TCC-topology-opt: 429 rate limit, waiting 10s...
[10:21:00]   arXiv TCC-topology-opt: 429 rate limit, waiting 20s...
[10:21:41]   arXiv TCC-topology-opt: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, giving up
[10:21:44]   arXiv TCC-qos: 429 rate limit, waiting 10s...
[10:21:55]   arXiv TCC-qos: 429 rate limit, waiting 20s...
[10:23:01]   arXiv TCC-qos: The read operation timed out, giving up
[10:23:19]   arXiv iNEST-selforg-critical: 429 rate limit, waiting 10s...
[10:23:31]   arXiv iNEST-selforg-critical: 429 rate limit, waiting 20s...
[10:24:10]   arXiv iNEST-selforg-critical: 429 rate limit, waiting 30s...
[10:25:03]   arXiv iNEST-nonlinear: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, retry 1...
[10:25:27]   arXiv iNEST-nonlinear: 429 rate limit, waiting 20s...
[10:25:49]   arXiv iNEST-nonlinear: 429 rate limit, waiting 30s...
[10:26:53]   arXiv iNEST-spatiotemporal: The read operation timed out, retry 1...
[10:26:59]   arXiv iNEST-spatiotemporal: 429 rate limit, waiting 20s...
[10:27:52]   arXiv iNEST-spatiotemporal: 429 rate limit, waiting 30s...
[10:28:26]   arXiv iNEST-snn: 429 rate limit, waiting 10s...
[10:28:37]   arXiv iNEST-snn: 429 rate limit, waiting 20s...
[10:28:58]   arXiv iNEST-snn: 429 rate limit, waiting 30s...
[10:29:32]   arXiv iNEST-emergence: 429 rate limit, waiting 10s...
