
============================================================
  iNEST + TCC Research Pipeline v3.3
  2026-09-13 13:31
============================================================
[13:31:23] [S2] Searching Semantic Scholar (19 queries)...
[13:31:30]   S2: 429 rate limited; skip S2 for this run and continue with arXiv/GN
[13:31:30] [arXiv] Searching arXiv (via proxy, 21 queries)...
[13:32:01]   arXiv TCC-scale-noc: The read operation timed out, retry 1...
[13:32:12]   arXiv TCC-scale-noc: 429 rate limit, waiting 30s (exponential backoff)...
[13:32:45]   arXiv TCC-scale-noc: 429 rate limit, waiting 60s (exponential backoff)...
[13:34:12]   arXiv TCC-wafer-chiplet: 429 rate limit, waiting 15s (exponential backoff)...
[13:34:48]   arXiv TCC-wafer-chiplet: <urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>, retry 2...
[13:35:30]   arXiv TCC-wafer-chiplet: The read operation timed out, giving up
[13:36:07]   arXiv TCC-reconfigurable: 429 rate limit, waiting 15s (exponential backoff)...
[13:36:54]   arXiv TCC-reconfigurable: 429 rate limit, waiting 30s (exponential backoff)...
[13:37:45]   arXiv TCC-reconfigurable: 429 rate limit, waiting 60s (exponential backoff)...
[13:38:54]   arXiv TCC-higher-order: 429 rate limit, waiting 15s (exponential backoff)...
[13:39:56]   arXiv TCC-higher-order: The read operation timed out, retry 2...
[14:41:17]   arXiv TCC-higher-order: 429 rate limit, waiting 60s (exponential backoff)...
[14:42:40]   arXiv TCC-sim-compile: 429 rate limit, waiting 15s (exponential backoff)...
[22:02:37]   arXiv TCC-sim-compile: Remote end closed connection without response, retry 2...
