
============================================================
  iNEST + TCC Research Pipeline v3.3
  2026-08-23 09:06
============================================================
[09:06:24] [S2] Searching Semantic Scholar (19 queries)...
[09:06:30]   S2: 429 rate limited; skip S2 for this run and continue with arXiv/GN
[09:06:30] [arXiv] Searching arXiv (via proxy, 21 queries)...
[09:06:31]   arXiv TCC-scale-noc: 429 rate limit, waiting 15s (exponential backoff)...
[09:07:28]   arXiv TCC-scale-noc: 429 rate limit, waiting 30s (exponential backoff)...
[09:08:54]   arXiv TCC-scale-noc: The read operation timed out, giving up
[09:09:48]   arXiv TCC-wafer-chiplet: The read operation timed out, retry 1...
[09:09:54]   arXiv TCC-wafer-chiplet: 429 rate limit, waiting 30s (exponential backoff)...
[09:11:23]   arXiv TCC-wafer-chiplet: The read operation timed out, giving up
[09:12:00]   arXiv TCC-reconfigurable: The read operation timed out, retry 1...
[09:12:31]   arXiv TCC-reconfigurable: 429 rate limit, waiting 30s (exponential backoff)...
[09:13:52]   arXiv TCC-reconfigurable: The read operation timed out, giving up
[09:14:28]   arXiv TCC-higher-order: The read operation timed out, retry 1...
[09:14:49]   arXiv TCC-higher-order: 429 rate limit, waiting 30s (exponential backoff)...
[09:16:19]   arXiv TCC-higher-order: The read operation timed out, giving up
[09:16:42]   arXiv TCC-sim-compile: 429 rate limit, waiting 15s (exponential backoff)...
[09:17:27]   arXiv TCC-sim-compile: The read operation timed out, retry 2...
[09:17:41]   arXiv TCC-sim-compile: 429 rate limit, waiting 60s (exponential backoff)...
[09:18:46]   arXiv: batch separator, pausing 10s...
[09:19:36]   arXiv TCC-topology-opt: 429 rate limit, waiting 15s (exponential backoff)...
[09:20:07]   arXiv TCC-topology-opt: 429 rate limit, waiting 30s (exponential backoff)...
[09:20:39]   arXiv TCC-topology-opt: 429 rate limit, waiting 60s (exponential backoff)...
[09:22:01]   arXiv TCC-qos: 429 rate limit, waiting 15s (exponential backoff)...
[09:22:46]   arXiv TCC-qos: The read operation timed out, retry 2...
[09:23:26]   arXiv TCC-qos: The read operation timed out, giving up
[09:23:33]   arXiv iNEST-selforg-critical: 429 rate limit, waiting 15s (exponential backoff)...
[09:23:49]   arXiv iNEST-selforg-critical: 429 rate limit, waiting 30s (exponential backoff)...
[09:24:35]   arXiv iNEST-selforg-critical: 429 rate limit, waiting 60s (exponential backoff)...
[09:26:11]   arXiv iNEST-nonlinear: 429 rate limit, waiting 15s (exponential backoff)...
[09:26:27]   arXiv iNEST-nonlinear: 429 rate limit, waiting 30s (exponential backoff)...
[09:27:13]   arXiv iNEST-nonlinear: 429 rate limit, waiting 60s (exponential backoff)...
[09:28:51]   arXiv iNEST-spatiotemporal: The read operation timed out, retry 1...
[09:29:28]   arXiv iNEST-spatiotemporal: The read operation timed out, retry 2...
[09:30:09]   arXiv iNEST-spatiotemporal: The read operation timed out, giving up
[09:30:14]   arXiv: batch separator, pausing 10s...
[09:30:55]   arXiv iNEST-snn: The read operation timed out, retry 1...
[09:31:39]   arXiv iNEST-snn: 429 rate limit, waiting 30s (exponential backoff)...
